"TCGA-02-0001-01C-01R-0179-07" "TCGA-02-0003-01A-01R-0179-07" "TCGA-02-0006-01B-01R-0179-07" "TCGA-02-0007-01A-01R-0179-07" "TCGA-02-0009-01A-01R-0179-07" "TCGA-02-0010-01A-01R-0179-07" "TCGA-02-0011-01B-01R-0179-07" "TCGA-02-0014-01A-01R-0179-07" "TCGA-02-0021-01A-01R-0179-07" "TCGA-02-0024-01B-01R-0179-07" "TCGA-02-0027-01A-01R-0179-07" "TCGA-02-0028-01A-01R-0179-07" "TCGA-02-0033-01A-01R-0179-07" "TCGA-02-0034-01A-01R-0179-07" "TCGA-02-0037-01A-01R-0179-07" "TCGA-02-0038-01A-01R-0179-07" "TCGA-02-0043-01A-01R-0179-07" "TCGA-02-0047-01A-01R-0179-07" "TCGA-02-0052-01A-01R-0179-07" "TCGA-02-0054-01A-01R-0179-07" "TCGA-02-0055-01A-01R-0179-07" "TCGA-02-0057-01A-01R-0179-07" "TCGA-02-0058-01A-01R-0179-07" "TCGA-02-0060-01A-01R-0179-07" "TCGA-02-0064-01A-01R-0195-07" "TCGA-02-0069-01A-01R-0195-07" "TCGA-02-0071-01A-01R-0195-07" "TCGA-02-0074-01A-01R-0195-07" "TCGA-02-0075-01A-01R-0195-07" "TCGA-02-0080-01A-01R-0195-07" "TCGA-02-0083-01A-01R-0195-07" "TCGA-02-0085-01A-01R-0195-07" "TCGA-02-0086-01A-01R-0195-07" "TCGA-02-0089-01A-01R-0195-07" "TCGA-02-0099-01A-01R-0195-07" "TCGA-02-0102-01A-01R-0195-07" "TCGA-02-0107-01A-01R-0195-07" "TCGA-02-0113-01A-01R-0195-07" "TCGA-02-0114-01A-01R-0195-07" "TCGA-02-0115-01A-01R-0195-07" "TCGA-02-0116-01A-01R-0195-07" "TCGA-06-0122-01A-01R-0213-07" "TCGA-06-0124-01A-01R-0213-07" "TCGA-06-0125-01A-01R-0213-07" "TCGA-06-0126-01A-01R-0213-07" "TCGA-06-0128-01A-01R-0213-07" "TCGA-06-0129-01A-01R-0213-07" "TCGA-06-0130-01A-01R-0213-07" "TCGA-06-0133-01A-02R-0213-07" "TCGA-06-0137-01B-02R-0213-07" "TCGA-06-0138-01A-02R-0229-07" "TCGA-06-0139-01A-01R-0213-07" "TCGA-06-0140-01A-01R-0213-07" "TCGA-06-0141-01A-01R-0213-07" "TCGA-06-0142-01A-01R-0213-07" "TCGA-06-0143-01A-01R-0213-07" "TCGA-06-0145-01A-06R-0213-07" "TCGA-06-0147-01A-02R-0229-07" "TCGA-06-0150-01A-01R-0229-07" "TCGA-06-0151-01A-01R-0229-07" "TCGA-06-0154-01A-03R-0229-07" "TCGA-06-0156-01A-03R-0229-07" "TCGA-06-0157-01A-01R-0229-07" "TCGA-06-0158-01A-01R-0229-07" "TCGA-06-0159-01A-01R-0229-07" "TCGA-06-0160-01A-01R-0229-07" "TCGA-06-0166-01A-01R-0229-07" "TCGA-06-0168-01A-02R-0229-07" "TCGA-06-0169-01A-01R-0213-07" "TCGA-06-0171-01A-02R-0229-07" "TCGA-06-0173-01A-01R-0229-07" "TCGA-06-0174-01A-01R-0229-07" "TCGA-06-0176-01A-03R-0229-07" "TCGA-06-0178-01A-01R-0229-07" "TCGA-06-0184-01A-01R-0229-07" "TCGA-06-0185-01A-01R-0229-07" "TCGA-06-0187-01A-01R-0229-07" "TCGA-06-0188-01A-01R-0229-07" "TCGA-06-0189-01A-05R-0229-07" "TCGA-06-0190-01A-01R-0229-07" "TCGA-06-0195-01B-01R-0229-07" "TCGA-06-0197-01A-02R-0229-07" "TCGA-06-0208-01B-01R-0229-07" "TCGA-06-0210-01B-01R-0229-07" "TCGA-06-0211-01B-01R-0229-07" "TCGA-06-0213-01A-01R-0229-07" "TCGA-06-0214-01A-02R-0229-07" "TCGA-06-0216-01A-01R-0229-07" "TCGA-06-0219-01A-01R-0229-07" "TCGA-06-0221-01A-01R-0229-07" "TCGA-06-0237-01A-02R-0229-07" "TCGA-06-0240-01A-02R-0229-07" "TCGA-06-0241-01A-02R-0229-07" "TCGA-02-0004-01A-01R-0300-07" "TCGA-02-0015-01A-01R-0300-07" "TCGA-02-0016-01A-01R-0300-07" "TCGA-02-0023-01B-01R-0300-07" "TCGA-02-0025-01A-01R-0300-07" "TCGA-02-0026-01B-01R-0300-07" "TCGA-02-0039-01A-01R-0300-07"
"RIT2" 20 69 15 3 135 9 196 41 6 19 5 1 2 39 6 2 19 319 27 17 2 2 4 21 5 7 20 196 4 2 66 109 22 73 14 10 4 1 577 45 2 204 5 8 17 30 28 3 27 185 164 15 4 110 89 219 63 38 28 76 107 188 67 57 3 270 26 20 15 100 346 39 2 23 4 5 11 13 6 3 24 1 188 4 243 1 37 234 17 40 28 908 2 1 1 1 1 1 0 1
"SUSD5" 3 2 1 3 1 153 107 1 2 28 10 301 2 12 1 1 0 74 2 36 10 2 3 45 1 259 1 73 0 1 3 7 1 3 2 1 1 2 182 2 1 2 1 4 1 281 66 0 4 0 1 4 2 7 28 22 0 2 9 1 1 7 0 4 1 51 7 5 0 4 1 8 7 67 1 1 0 62 4 2 5 0 1 0 1 1 2 41 1 9 0 32 100 4 2 2 1 1 2 4
"G0S2" 4 1 2 1 0 0 1 0 0 0 1 0 1 1 1 1 1 1 1 2 4 0 0 11 0 0 3 1 1 0 1 0 2 0 0 1 3 2 0 0 1 4 2 1 0 0 0 11 1 0 2 22 3 7 0 9 1 10 0 2 1 6 4 1 0 0 2 3 4 0 1 1 2 0 0 1 3 1 3 2 0 1 3 5 0 0 1 0 0 0 1 0 4 0 1 1 0 1 0 1
"SNAP25" 94 91 8 30 1 21 2 14 2 43 29 15 2 3 2 1 1 59 22 5 13 3 68 12 1 9 11 7 7 1 47 142 9 55 6 10 6 25 8 94 8 12 12 4 24 5 13 21 84 1 29 1 5 21 190 5 2 0 421 3 5 27 35 27 27 168 12 158 1 35 46 67 7 29 50 29 8 21 4 3 97 7 73 10 39 29 35 395 69 152 16 863 32 0 0 0 0 0 1 0
"ADAMDEC1" 5 4 9 1 1 3 1 2 7 38 8 15 5 3 1 2 7 3 9 14 4 34 2 4 16 45 25 7 10 1 14 26 2 52 25 1 130 1 11 15 4 102 41 2 25 3 987 152 9 487 108 749 24 2341 3 357 88 2154 281 59 6 121 29 6 106 1 3 2 8 6 49 17 3 23 45 2 3 2 33 21 26 39 7 25 12 8 8 1 4 86 6 16 13 2 1 1 1 1 1 2
"CPNE4" 4 28 14 9 194 13 1 2 111 6 6 1216 3 1 151 13 10 3 2 2 2 2 2 3 19 4 17 1 78 0 342 15 32 34 15 211 3 1 3 15 153 42 120 421 38 2 0 10 8 210 8 22 1 2 17 3 80 9 22 26 411 1 27 49 2 54 18 9 10 4 2 36 24 1 82 36 1 2 15 7 27 2 112 3 262 37 6 38 7 3 1 72 1 2 2 4 12 3 9 3
"GBP5" 22 2 11 11 13 5 2 2 20 4 5 2 14 31 7 15 61 13 12 23 94 14 5 3 139 3 27 7 67 2 23 77 8 62 46 32 57 15 11 12 18 154 14 9 13 26 28 716 62 26 11 318 105 23 9 38 193 2583 60 41 38 53 15 24 29 2 5 84 27 4 11 4 57 5 34 11 36 5 27 10 22 76 5 20 3 149 11 2 6 11 41 7 9 0 0 0 0 0 0 0
"P2RY12" 6 29 3 2 57 4 14 5 11 3 7 3 3 4 3 52 3 16 12 13 2 15 28 4 39 3 30 14 18 23 32 62 41 35 3 2 15 3 7 107 3 26 91 34 54 603 489 85 669 2 90 594 8 137 209 53 74 773 53 11 24 77 64 59 18 71 31 161 6 71 67 37 9 250 359 144 151 104 4 18 52 31 228 77 51 189 71 134 54 281 332 961 40 1 1 1 2 2 3 1
"LYVE1" 71 1 20 5 1 2 5 2 1 6 64 7 85 24 2 3 15 10 3 2 91 2 2 2 187 13 15 9 21 66 4 8 13 20 93 25 63 5 2 17 2 146 89 7 7 46 2 9 34 36 15 1345 118 377 50 210 2 200 28 192 33 78 6 2 54 12 7 154 324 24 61 6 27 6 64 3 32 14 194 38 3 67 8 36 1 46 8 8 4 4 2 35 8 1 1 1 0 0 1 1
"TAC3" 6 43 6 1 0 1 0 8 0 5 2 2 1 1 0 0 1 2 17 4 1 1 3 3 0 0 0 0 0 0 5 5 0 3 82 1 1 0 0 2 1 2 1 0 1 0 0 0 10 0 1 0 1 0 9 0 0 0 8 1 0 1 4 1 1 22 0 4 0 1 22 4 3 1 0 2 0 6 28 1 9 0 1 1 9 1 1 8 2 3 2 43 0 3 9 8 26 3 45 14
"KHDRBS2" 13 4 1 1 0 3 614 23 2 4 5 1 1 2 1 2 0 3 2 2 4 2 24 8 2 2 2 1 1 857 3 13 1 6 1 2 3 46 1 8 2 1 1 3 6 216 2 1 32 1 3 2 1 5 98 1 1 2 36 0 1 4 2 4 3 226 1 12 1 3 2 2 1 441 1 2 1 2 1 1 57 1 2 1 4 1 2 153 5 12 1 639 1 2 1 2 1 2 1 2
"HSPB2" 81 86 50 74 42 5 108 5 20 24 61 14 96 64 16 175 2 58 68 158 22 51 31 22 104 57 41 207 67 22 189 101 18 130 259 11 447 14 22 165 12 131 201 15 12 426 17 151 348 24 217 161 59 145 227 58 107 612 189 112 36 461 15 42 80 127 39 212 19 28 83 12 42 533 125 46 59 126 175 86 28 225 76 195 13 511 66 194 71 33 323 572 62 0 0 0 0 1 1 0
"NKX6-2" 55 93 192 35 14 12 9 9 14 48 3 76 31 61 5 138 1 42 175 6 12 266 10 24 119 2 83 151 20 149 37 247 63 231 109 7 277 2 152 198 6 81 54 5 38 22 124 51 61 33 188 247 87 284 264 87 10 1774 178 2 5 6 7 65 136 142 117 435 45 136 167 68 42 296 248 48 2 94 12 62 49 17 57 160 20 440 162 354 197 200 53 994 122 3 2 1 1 1 1 2
"NPPA" 9 144 28 1 14 37 61 32 4 34 32 19 1 75 3 28 9 40 94 9 1 4 27 449 8 4 45 142 15 142 165 75 38 67 5 8 15 1 214 7 20 21 5 19 24 263 152 1 56 87 124 9 10 21 36 101 47 1 65 1 13 140 87 20 8 12 23 35 1 31 26 73 5 267 2 34 6 65 4 15 15 7 117 222 24 1 47 17 18 195 176 204 107 0 1 1 1 1 2 0
"MMP9" 1 20 8 1 2 22 6 1 27 27 3 34 4 145 67 61 2 177 98 21 19 32 1 49 93 1 124 8 124 1 3 164 43 13 3 5 180 1 18 2 31 13 86 25 3 97 0 80 0 27 142 197 47 112 8 103 2 76 15 41 18 45 30 61 72 1 49 46 18 3 19 54 44 50 3 8 18 10 52 81 1 3 3 12 43 1 23 0 5 1 1 1 84 29 9 20 21 20 5 19
"DHRS9" 1 6 1 0 6 0 5 0 0 1 1 0 1 0 0 3 0 1 5 1 1 2 19 1 0 1 3 0 1 2 1 8 2 0 0 0 4 0 0 12 0 1 0 0 1 24 62 8 22 0 15 17 0 4 28 0 5 34 15 2 1 1 3 9 3 7 5 13 1 19 6 1 3 75 13 27 1 7 1 2 26 2 20 6 7 10 26 22 27 85 38 138 2 1 3 1 1 0 0 1
"CXCL9" 12 6 2 2 23 7 1 4 52 4 5 1 8 14 4 10 132 5 12 22 5 13 2 2 225 2 11 6 70 1 104 1217 2 12 17 12 55 16 9 19 118 41 22 5 53 10 13 2239 88 14 13 1296 6 11 6 21 159 3205 99 12 143 30 13 12 13 1 5 14 4 6 10 2 4 8 10 2 5 4 17 10 17 162 9 2 15 513 9 1 4 2 92 57 5 1 1 1 1 2 1 1
"JAKMIP1" 1 2 2 5 0 0 7 0 0 6 1 0 0 1 0 1 0 2 1 1 1 3 2 3 0 0 0 2 0 0 1 4 0 2 1 0 4 28 1 2 0 0 0 0 0 0 1 0 4 0 2 0 0 3 10 0 0 0 2 0 0 1 3 1 1 36 2 7 0 1 2 3 0 0 0 1 0 9 1 0 5 0 3 0 0 0 1 42 1 2 3 32 1 13 13 10 13 13 3 16
"TENM2" 3 41 10 0 6 4 7 1 0 16 6 2 14 3 0 0 0 4 2 1 108 0 2 3 0 2 0 3 3 0 5 13 1 3 20 0 10 0 0 2 0 1 1 3 2 0 2 1 3 78 41 0 0 1 15 0 1 0 4 36 1 1 1 1 1 43 0 5 0 2 21 23 87 0 0 1 0 1 1 1 5 0 0 4 4 0 2 31 1 2 0 35 0 2 3 5 2 3 3 2
"TMEM100" 19 137 23 1 19 35 33 8 2 7 7 53 7 6 3 3 0 22 9 26 4 2 80 46 16 19 14 17 42 230 74 8 41 11 6 4 30 4 132 103 18 24 16 2 18 210 162 4 9 1 52 10 0 106 2 4 40 9 31 108 16 12 6 1 10 2 6 4 4 86 12 38 14 254 60 1 5 20 5 10 2 29 152 52 6 337 31 1 11 202 50 11 19 0 1 0 1 0 1 0
"SULF1" 3 4 18 16 0 0 10 0 0 0 11 0 1 45 1 1 0 16 1 1 21 1 13 1 1 1 0 2 1 2 0 77 2 0 89 1 26 0 4 1 0 1 1 0 0 4 4 2 0 1 6 4 30 7 1 4 1 8 1 6 0 10 6 2 3 1 5 5 0 0 6 1 2 4 0 0 0 4 7 6 1 2 0 1 0 19 3 0 0 5 1 1 0 1 1 0 1 1 1 1
"HSPB3" 4 9 1 1 0 2 13 13 0 5 0 0 1 6 0 1 0 3 40 2 6 1 4 4 0 1 0 24 0 1 5 13 0 6 3 0 1 0 1 3 1 1 0 0 4 4 1 11 11 0 3 0 1 1 5 1 0 0 11 0 1 3 0 3 5 79 1 44 0 2 3 18 4 260 0 5 0 2 0 1 8 0 2 3 2 0 1 33 4 10 0 399 8 0 0 1 0 1 1 0
"TCEAL2" 45 171 126 153 34 26 136 88 2 49 60 190 42 81 28 31 4 194 102 4 24 143 202 150 94 223 31 168 281 672 206 310 558 101 31 369 322 1033 446 440 251 38 101 8 108 543 377 11 104 153 136 60 196 164 303 21 19 54 156 4 21 133 180 71 76 204 77 295 7 100 54 161 3 217 254 39 68 201 60 90 76 116 36 59 28 171 43 575 41 206 260 707 61 1 0 1 5 2 0 1
"CXCL13" 2 2 2 1 1 2 2 1 2 2 2 1 3 6 1 2 2 3 2 2 805 2 2 2 3 2 1 1 24 2 2 9 14 3 2 3 7 2 2 2 1 2 31 1 1 41 2 24 2 7 1 1611 2 62 2 25 5 551 19 3490 2 427 3 1 1540 1 3 44 7 2 1 1 12 2 2 2 2 4 6 34 2 3 9 58 1 4 1 1 2 2 16 2 1 4 2 1 2 3 2 3
"LRIG1" 20 12 16 5 23 10 49 4 27 6 22 18 13 5 14 24 11 27 4 11 2 40 48 5 14 13 29 22 14 51 4 10 4 21 7 24 12 6 6 22 26 17 12 32 46 27 27 2 6 6 7 3 27 14 11 11 6 3 9 2 16 13 17 48 4 9 16 18 13 8 14 7 15 11 38 8 31 53 10 12 11 23 16 2 12 6 43 26 6 4 19 7 4 0 0 0 0 0 0 0
"SMOC1" 1 4 1 0 0 4 29 31 0 11 1 6 1 1 0 8 1 21 14 1 1 1 4 3 0 65 0 27 0 73 0 2 0 1 2 1 1 0 51 1 3 0 0 0 0 22 25 0 1 1 0 0 0 3 5 0 0 0 2 1 0 6 0 0 1 4 0 1 0 0 0 1 1 29 0 1 4 0 0 0 0 0 1 0 0 0 1 7 1 5 13 2 6 0 1 1 0 0 1 0
"IBSP" 65 3 7 7 10 8 5 1 7 2 5 3 41 69 23 57 19 33 8 15 8 4 1 9 476 1 27 23 71 2 22 15 508 48 61 43 58 8 11 3 5 81 211 78 46 52 1 25 5 202 36 242 98 126 4 148 3 728 3 29 34 119 4 12 10 1 19 58 112 40 55 45 9 2 43 3 84 7 30 17 1 51 10 15 1 82 14 1 1 2 1 2 18 1 2 1 2 2 1 2
"CBLN2" 4 4 1 1 0 1 13 1 0 8 10 0 1 0 0 1 0 4 7 0 2 0 8 3 0 12 1 1 0 4 2 23 0 5 0 1 0 0 3 16 1 1 0 0 3 1 1 0 4 0 1 0 4 1 44 0 0 0 56 0 1 3 0 1 3 154 1 16 1 3 2 1 1 3 1 2 0 1 0 1 49 1 6 0 1 0 7 111 9 27 0 303 1 1 1 3 1 1 1 1
"TAGLN3" 79 120 39 28 11 44 40 48 8 61 35 89 1 20 2 84 18 131 97 5 14 3 47 52 1 20 34 76 2 40 84 119 11 78 44 19 17 1 57 113 22 17 10 50 40 129 89 3 132 16 101 2 25 19 160 43 66 5 236 18 11 159 58 26 27 102 27 221 6 25 61 89 3 242 7 69 5 40 2 8 65 2 44 6 42 6 19 182 53 173 97 657 72 1 1 0 0 0 0 1
"KCNJ16" 53 115 6 33 108 10 100 4 69 21 102 170 2 15 11 126 10 100 12 20 3 17 105 110 2 160 26 47 5 13 308 16 31 124 58 3 105 1009 9 808 24 55 212 571 150 91 38 9 105 2320 214 16 17 1623 78 311 31 21 81 144 75 112 127 84 22 60 81 184 42 100 108 108 2 9 184 229 6 112 25 44 38 2 444 35 14 8 74 141 97 23 99 242 129 6 1 1 1 2 1 2
"ANGPTL4" 5 1 46 3 0 1 2 0 1 1 1 4 86 31 48 5 3 9 2 2 11 44 1 1 18 0 50 2 16 0 8 2 13 9 6 7 10 5 4 26 1 10 23 2 1 0 0 1 3 45 20 9 25 7 3 22 1 5 3 10 12 13 0 9 12 2 9 8 11 0 6 12 8 0 3 3 7 17 9 43 1 26 2 31 0 6 2 2 1 0 0 1 6 34 55 13 34 0 30 12
"HOMER3" 2 1 2 6 2 1 1 0 1 0 1 1 1 1 2 2 2 1 1 2 1 2 1 0 2 0 1 1 1 1 1 1 1 1 1 2 1 1 2 2 2 2 2 2 1 1 1 2 2 1 1 1 1 1 1 1 1 0 0 0 1 1 2 2 0 0 1 1 1 1 1 1 1 1 1 2 1 1 0 1 1 1 1 0 2 1 1 1 0 0 1 0 0 845 157 131 577 1684 381 657
"COL1A2" 2 0 0 0 0 0 0 0 0 0 1 0 3 99 1 0 1 0 0 2 14 0 0 0 8 6 1 1 6 0 0 41 2 0 8 1 11 0 0 0 0 1 3 0 0 0 0 51 0 8 0 7 3 2 0 1 0 1 1 1 1 0 0 0 5 0 1 0 1 0 1 0 8 0 1 0 0 1 7 7 0 0 0 1 0 0 0 0 0 0 0 0 0 7 1 18 12 6 3 6
"SPON1" 93 91 24 187 251 20 109 4 38 9 84 42 2 18 12 280 1 97 34 378 20 53 130 6 2 40 43 17 4 185 20 61 2 234 54 137 20 200 12 348 149 1 11 343 73 60 85 60 42 37 57 9 1 70 61 15 107 5 31 114 21 1 309 5 34 42 41 51 10 45 241 73 5 110 5 254 76 387 24 15 9 2 179 1 65 20 8 65 7 38 121 39 14 1 1 2 4 2 11 4
"NDN" 1 8 7 14 0 5 17 8 0 17 3 9 2 1 0 4 0 7 1 0 4 3 7 7 5 14 1 1 0 3 0 11 4 1 8 0 3 0 7 1 0 0 0 0 0 4 6 10 3 0 6 4 0 9 6 5 0 1 3 6 0 4 0 1 4 10 0 2 0 7 1 0 0 12 0 0 1 0 3 7 2 7 4 0 0 4 1 6 7 8 1 11 7 0 0 0 0 0 1 0
"SEMA3E" 1 39 4 1 103 1 69 0 42 5 130 0 1 10 30 1 12 1 20 42 2 11 2 2 15 0 26 87 2 0 1 29 8 1 28 6 1 0 0 58 5 59 64 3 15 60 2 0 2 4 1 1 9 15 22 1 35 1 11 331 2 6 1 10 1 14 7 2 1 1 28 15 2 1 1 1 3 2 4 6 2 16 84 10 2 32 9 18 1 1 16 18 26 1 2 2 1 1 3 1
"HLA-DRA" 102 53 112 39 67 20 18 13 40 29 36 20 155 132 34 146 28 135 122 77 142 115 58 57 354 56 89 126 235 22 181 388 149 495 173 66 630 286 63 135 27 109 124 72 81 361 172 311 289 218 134 483 137 363 108 169 391 1534 214 187 78 302 109 52 160 23 27 277 119 60 99 43 32 193 134 69 108 53 101 63 60 181 86 256 48 344 47 49 51 144 154 286 59 1 0 0 0 0 0 1
"HOXA9" 6 71 26 0 1 0 0 6 0 17 1 0 0 1 1 0 6 0 1 46 1 1 0 0 1 0 0 0 1 0 14 2 0 0 62 3 0 0 0 0 0 0 0 1 1 2 17 0 11 0 11 0 5 0 0 4 0 0 0 0 0 5 3 0 0 0 4 0 1 1 2 38 4 0 1 0 0 4 0 1 1 0 1 38 0 0 1 0 1 1 16 0 0 0 1 1 1 1 1 1
"MYT1" 1 35 2 1 1 22 20 31 2 31 5 21 1 3 2 4 8 30 11 2 1 2 6 82 1 399 12 115 1 42 2 9 2 6 5 2 1 1 82 1 23 6 1 32 47 29 145 1 14 39 58 3 1 8 17 62 1 1 9 2 1 27 46 10 2 6 6 2 0 12 23 89 1 8 1 3 1 32 1 1 1 1 27 2 7 1 2 8 3 5 19 8 76 1 0 1 0 0 1 1
"SPOCD1" 79 3 74 1 9 9 2 0 4 2 14 1 130 86 17 17 20 25 5 5 32 11 3 1 132 0 60 7 41 2 46 27 74 18 7 5 133 0 8 39 4 59 87 7 5 19 1 37 6 63 17 61 16 55 4 76 53 40 3 22 53 9 1 7 23 0 27 6 126 4 13 7 32 5 32 20 27 6 10 54 1 158 5 86 8 97 6 0 8 18 1 1 5 1 1 2 1 1 1 1
"DACT2" 0 6 3 0 0 6 0 0 0 11 3 0 0 12 0 0 0 21 3 0 0 0 1 2 0 3 0 2 0 0 0 72 0 0 9 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 3 53 0 0 0 0 0 2 0 0 0 2 1 0 0 0 0 14 1 0 1 0 0 0 0 1 0 0 1 1 0 0 0 6 0 1 1 1 9 1 1 1 0 0 1 0
"C1QC" 64 33 83 15 33 22 27 10 23 30 22 30 150 82 34 92 22 68 71 43 85 76 27 21 242 59 71 88 106 92 73 170 368 188 130 56 219 136 70 119 57 85 129 52 46 156 129 117 123 404 95 167 132 226 85 98 172 971 91 72 65 159 62 40 85 20 33 249 152 45 71 51 32 107 114 56 61 49 73 46 34 131 53 166 43 233 43 28 31 114 109 172 64 0 0 0 0 0 0 0
"CADM2" 11 54 14 3 128 56 136 96 21 73 43 167 1 4 3 28 30 78 25 6 2 19 22 17 15 337 96 250 3 96 11 26 14 10 16 39 20 11 10 178 67 45 10 134 218 105 630 2 169 10 24 8 51 126 122 210 757 4 59 36 15 30 131 118 4 113 27 22 7 44 77 185 2 64 17 15 28 196 7 3 13 2 156 14 83 2 39 110 9 9 85 185 83 1 1 1 1 1 2 1
"NKAIN4" 2 29 27 1 6 16 22 3 2 15 5 5 1 7 3 35 4 49 23 1 1 19 30 4 0 51 8 25 0 152 50 28 3 84 35 4 7 0 21 9 54 8 2 15 23 50 40 0 123 7 59 1 41 2 23 20 62 4 142 2 10 65 37 24 9 10 17 5 20 42 5 15 0 72 4 41 41 30 3 2 3 1 26 11 21 8 14 11 21 52 95 83 35 11 1 1 1 1 1 0
"SPARCL1" 379 285 176 187 533 166 305 52 332 163 206 273 334 213 294 651 98 629 344 337 192 366 765 251 915 625 463 972 1542 1273 1925 920 2050 1802 485 960 846 2077 1038 1949 1808 995 1238 1008 1103 2736 1360 546 845 4431 716 874 228 2303 983 1026 1408 1322 708 366 382 814 724 233 248 420 221 1064 481 264 382 385 92 847 1239 448 753 362 358 224 125 448 1280 1060 224 284 263 952 244 604 788 1948 259 3 2 3 2 2 2 2
"MAOB" 63 55 186 87 43 5 29 3 19 14 18 1 31 71 81 153 43 84 32 231 14 250 5 15 191 1 78 39 38 1 48 184 77 364 191 95 408 58 13 119 230 169 40 135 62 0 2 7 175 41 20 18 238 41 62 54 16 6 23 1 48 53 165 89 26 27 22 73 16 57 33 27 14 36 46 88 91 135 19 20 21 67 25 4 42 86 66 17 17 3 55 28 15 1 1 1 1 1 1 2
"IL17D" 44 122 25 106 108 27 83 11 55 18 54 15 3 8 42 219 22 200 10 16 3 74 547 82 8 42 57 80 7 277 35 42 15 100 22 64 42 47 37 53 219 11 11 88 79 106 59 3 138 66 214 3 13 122 132 81 67 5 68 2 27 19 73 58 11 86 14 40 12 142 117 71 1 70 23 133 94 189 29 17 27 6 144 20 44 38 93 200 29 53 227 63 67 1 0 1 0 0 0 0
"HOXB2" 0 3 2 0 0 1 0 1 0 3 1 0 0 1 0 0 6 0 0 2 2 0 0 0 0 0 0 1 7 0 6 2 0 0 3 3 0 0 0 0 0 0 0 0 1 1 1 7 2 0 2 1 0 1 0 0 0 0 0 0 0 0 12 0 0 0 1 0 0 0 6 1 2 0 0 2 1 1 0 0 1 0 0 3 3 0 0 0 1 0 3 0 3 0 0 0 0 0 0 0
"RBP1" 55 88 174 108 53 0 123 1 49 46 54 1 76 31 16 134 7 89 71 39 97 43 1 143 27 39 31 25 30 2 82 81 92 18 160 16 80 72 0 64 13 20 119 26 22 6 0 85 57 170 35 58 30 172 34 40 412 90 40 83 49 99 50 41 68 13 83 115 46 75 76 58 36 6 69 59 18 92 41 56 4 47 41 19 34 57 6 10 27 2 102 39 89 2 2 2 1 1 1 1
"KCNJ6" 15 4 5 11 24 11 1 3 28 9 5 63 4 1 9 2 2 4 2 8 6 1 4 9 16 1 26 1 29 1 20 10 12 5 2 70 2 1 1 6 13 11 42 26 17 1 2 46 8 3 3 35 2 5 63 3 4 4 10 21 38 1 22 5 3 63 1 5 3 2 2 7 6 2 103 5 4 3 5 9 21 9 8 2 23 4 4 71 3 3 8 57 2 0 0 0 0 0 0 0
"OPCML" 17 102 12 3 4 48 169 101 16 98 32 7 1 8 1 7 7 126 29 3 8 3 14 19 2 532 32 204 4 57 12 56 2 24 80 8 6 3 19 29 7 9 6 63 71 298 598 5 49 226 47 7 11 49 158 73 172 4 33 2 3 150 36 25 7 222 40 25 3 29 14 169 5 55 4 7 2 30 4 6 34 4 86 3 10 2 14 195 9 19 23 329 81 1 1 1 1 1 2 1
"FBXL16" 7 11 1 7 0 10 10 9 1 19 4 8 0 3 1 2 1 10 2 1 2 1 15 31 0 8 3 4 0 8 1 14 1 8 0 1 1 1 5 5 1 4 1 2 4 3 8 0 5 1 6 0 1 1 65 2 0 0 6 0 2 1 4 3 2 151 4 12 0 4 2 5 0 2 1 2 2 5 0 1 24 0 2 0 2 0 4 163 3 4 1 75 6 1 2 1 1 1 1 1
"ADORA3" 101 78 106 14 48 15 33 14 36 14 26 59 75 62 35 164 24 75 132 55 108 92 51 19 444 10 136 161 169 98 158 376 779 348 179 74 379 67 63 369 13 168 284 29 40 427 431 292 314 75 141 1008 97 498 296 145 120 2178 112 83 117 173 38 41 105 46 40 245 201 85 119 63 44 201 409 78 99 66 88 60 46 256 106 539 35 733 98 57 83 239 131 406 68 1 0 1 1 2 1 1
"PI16" 3 5 4 15 4 1 1 1 1 2 1 0 0 1 5 28 1 65 7 1 1 16 114 1 1 1 2 8 1 230 2 7 0 91 13 4 12 0 1 8 31 3 2 5 1 50 13 0 85 5 5 0 26 1 45 3 18 1 19 0 1 14 59 57 7 10 2 6 2 22 1 2 1 29 10 106 34 8 3 1 12 2 4 1 5 9 10 22 18 22 136 15 2 2 1 13 8 2 4 5
"ENPP6" 11 8 4 2 125 4 23 5 22 24 4 96 2 12 5 18 2 6 44 16 2 15 2 10 6 69 21 352 25 5 52 42 60 37 56 17 31 2 7 65 21 46 28 63 203 36 17 5 33 2 11 35 8 54 207 61 26 11 7 1 5 38 63 12 8 38 18 17 3 11 14 60 2 10 70 2 3 42 4 5 5 2 78 16 7 9 32 130 9 4 35 65 94 0 0 0 0 1 0 0
"FCGR1A" 75 53 96 10 47 15 27 12 22 22 22 23 128 57 24 107 18 62 52 41 69 60 43 7 184 15 48 70 100 83 146 136 578 125 70 64 214 78 59 129 20 54 118 51 37 146 88 86 120 234 109 195 76 173 118 68 187 1325 122 97 58 101 64 35 82 22 28 223 110 43 59 41 26 185 99 35 54 44 51 42 31 89 53 258 41 284 48 38 60 126 99 271 53 0 0 0 0 0 1 0
