	A427	A549	Detroit562	FaDu	H1299	H1395	H1703	H2126	H2170	H2228	H358	H441	H520	H522	H596	HCC827	KYSE30	OE21	PC9	SCC15	SCC25	SKMES1	SW900
ACSF2|80221	1086	513	2141	477	765	349	539	2198	939	1353	2472	2640	457	310	346	1395	956	234	1252	523	987	523	1923
ACSF3|197322	1069	668	762	189	965	1136	574	502	740	1042	1094	599	618	370	665	864	677	1328	535	385	440	482	540
ACSL1|2180	1646	983	2495	674	1008	5863	950	7575	2083	986	9736	2028	1311	1118	1011	2095	2504	665	1178	1947	697	2581	1296
ACSL3|2181	18644	18591	19139	6603	27530	47319	9785	28467	16864	15031	45483	9484	12666	10884	5232	20401	29316	18899	18324	6362	21413	19348	19989
ACSL4|2182	8844	5210	4767	1484	4664	2016	2340	137	2724	5779	14350	9345	1845	2100	9996	26747	7665	2374	4574	7722	9950	19921	8011
ACSL5|51703	5	8	283	18	12	17	17	6	4	5	252	4346	923	1	1307	922	744	12	2502	52	2475	501	8213
ACSL6|23305	9	1	6	1	14	70	0	0	5	26	2	0	4	36	0	2	0	15	5	1	1	15	5
ACSM1|116285	0	0	1	0	0	2	0	0	0	0	1	2	0	0	0	2	2	2	1	0	10	0	1
ACSM2A|123876	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSM2B|348158	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSM3|6296	1.01	623.66	39.26	9.03	0	2332.93	683.47	5.06	8.73	1	1770.82	18.67	5.05	3.23	19.06	528.02	2	2.01	7.03	14.1	19.11	257.78	60.31
ACSM4|341392	0	0	0	0	1	8	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	2
ACSM5|54988	0	2	2	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	22	0	3	0
ACSS1|84532	1229	2847	437	48	1	12363	2031	2	348	9	415	1	352	13	202	48	107	976	524	243	1561	1033	673
ACSS2|55902	5692	769	1477	247	1214	5995	601	4349	1792	1172	4703	1407	795	889	2194	1422	1234	685	766	435	1077	2419	1559
ACSS3|79611	196	0	18	0	5	2943	1	20	360	2	0	1	1215	1	243	0	0	0	147	1	1	757	0
ACTA1|58	2	0	2	11	4	7	1	1	2	2	2	0	13	13	12	0	18	8	1	25	10	34	5
ACTA2|59	506.84	340.15	455.73	72	277.81	71.43	364.71	19.73	60	491.53	246	72.5	2	42	591.37	69.98	53.82	85	100.65	432	98.93	274.22	44.22
ACTBL2|345651	0	1	238	12	0	0	2	7	0	0	12	13	1	0	33	43	246	14	20	15	286	29	19
ACTB|60	267443	297368	131661	137848	157266	101507	251756	119529	209023	151699	255394	140686	189680	283805	262784	361967	517732	213084	258248	374065	298813	677657	281194
ACTC1|70	0	0	6	1	2	0	0	0	0	1	2	0	0	0	2	1	0	0	0	47	0	2	0
ACTG1|71	187444	255829	48161	178502	147660	74283	196731	62060	146379	155099	386791	187497	120111	307616	31359	229732	182664	116206	104198	172978	139700	303875	169717
ACTG2|72	0	1	2	18	2	3	1	0	2	0	4	0	3	0	14	0	6	0	0	116	50	1	85
ACTL6A|86	6069	2892	2232	4593	4402	1815	2367	1691	3824	3866	6500	4514	6394	5266	4651	5124	8146	5029	4538	3589	4820	8387	2261
ACTL6B|51412	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0
ACTL7A|10881	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0
ACTL7B|10880	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ACTL8|81569	0	43	0	44	1	10	20	4	69	0	1	0	14	5	3	1	13	25	109	1	2	0	1
ACTL9|284382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTN1|87	10937	25844	35085	20185	26988	5953	27779	3894	7081	31270	43668	10825	10085	14911	10869	27918	30896	21585	24850	50516	45645	50967	29456
ACTN2|88	112	0	0	0	52	4	1	0	1	51	0	0	2	237	0	4	0	2	5	0	0	1	3
ACTN3|89	2	0	0	0	3	18	1	1	0	0	2	0	3	39	0	2	0	0	0	4	2	5	0
ACTN4|81	16167.02	170737.42	29746.37	34273.28	82638.37	27842.73	94200.3	51928.15	64893.89	53220.53	124822.67	35506.88	65024.48	17538.63	49095.71	57309.04	78290.26	53620.39	96072.01	25711.13	62956.14	120428.35	94008.31
ACTR10|55860	2403	1182	1243	1284	1338	1969	1229	2768	1556	1254	3130	1439	1132	1620	1463	2475	1381	1219	804	1467	1898	3166	1556
ACTR1A|10121	4596	5913	2915	2746	4918	3190	4430	4681	2841	4896	5108	2811	5171	6069	4479	5586	7690	3190	2207	5039	7152	9282	5066
ACTR1B|10120	1737	910	738	507	843	1702	939	1485	1209	785	3194	1189	967	2411	1331	1931	1017	601	673	721	1046	2717	1249
ACTR2|10097	36108	26177	8245	13686	17266	16103	15118	19233	20183	14549	34794	33654	13406	29570	16763	23683	25692	11288	15478	15823	18169	51130	17479
ACTR3B|57180	865	367	167	314	458	999	404	1023	1066	482	1333	538	899	1461	209	526	556	224	438	135	159	735	367
ACTR3C|653857	56	7	7	157	15	115	5	223	194	19	266	155	67	75	34	110	141	29	123	88	45	174	85
ACTR3|10096	11882	16345	11250	9094	14860	4709	13890	6889	21069	11519	27836	18977	26826	14256	12284	18527	13838	11397	10749	13495	17323	32916	20016
ACTR5|79913	966	622	205	183	535	421	422	858	565	492	699	467	288	758	441	791	560	358	463	129	465	675	412
ACTR6|64431	969.4	874	667	495	776.29	469	820	2102	564	625	2417.14	856	1382	887	412	861	272	363	508	326	593	1018	607.37
ACTR8|93973	1294	837	1072	501	1459	809	590	803	767	1182	1921	451	1076	1798	856	1680	748	598	722	711	817	1900	670
ACTRT1|139741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ACTRT2|140625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACVR1B|91	5498	1853	1192	1366	3991	3478	2000	1983	966	2313	1532	1393	2597	2049	620	3227	1786	2952	1560	816	3753	2320	1407
ACVR1C|130399	46	1	101	69	289	41	10	12	35	187	539	175	64	2	49	40	27	578	67	9	531	78	189
ACVR1|90	2353	1184	1198	290	2267	1327	1016	901	1251	1488	3620	1709	497	1048	1643	1422	935	2312	790	1581	4028	3454	1359
ACVR2A|92	756	442	536	214	1466	442	302	449	873	870	1114	470	264	654	529	537	732	647	652	253	514	2	665
ACVR2B|93	3080	1030	322	302	3293	450	719	685	901	1753	3421	997	828	1994	138	753	593	454	921	142	236	1501	358
ACVRL1|94	25	2	3	1	7	0	6	0	0	8	0	6	0	1	3	18	2	2	0	2	2	5	0
ACY1|95	1143	476	336	380.71	1056	2574	658	696	1196	1086	2452	907	568	938	1114	611.55	535	356.54	470	115	375	1385	449
ACY3|91703	1	9	266	18	0	642	57	24	98	0	116	13	6	3	8	32	0	3	0	7	34	4	25
ACYP1|97	556	166	118	134	239	185	263	197	179	354	664	114	257	274	151	226	154	123	330	69	103	222	132
ACYP2|98	93	44	123	102	81	197	36	71	65	97	297	32	85	57	354	58	57	30	105	96	84	164	44
ADAD1|132612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
ADAD2|161931	0	0	1	7.73	0	2	0	2	0	0	13.37	0	3	0	0	0	3.76	4.81	2	0	0	0	1
ADAL|161823	697	435	603	97	804	461	283	352	647	1352	676	264	853	821	1252	473	233	460	576	333	418	1143	461
ADAM10|102	10276	8433	8903	3717	11393	4508	9128	10028	4514	6811	21564	4761	20727	5656	12576	10825	10374	9822	10012	4879	20744	19908	3991
ADAM11|4185	2240	253	21	6	894	40	127	14	15	775	129	62	219	3806	38	79	53	13	163	22	6	29	94
ADAM12|8038	2	987	1010	92	4	267	1438	2	10	27	9	1	1330	0	3	642	1456	1610	2988	5339	1981	10141	176
ADAM15|8751	6358.35	2743.54	5190.04	3110.06	3391.22	39610.18	2979.24	19497.28	11595.28	2561.05	37162.92	12681.02	2097	3499.69	9637.19	6812.59	9647.25	7541.24	6213.16	1088	8285.64	10572.15	16742.81
ADAM17|6868	11946	4689	4221	1445	7376	1363	3559	3356	3377	3303	12280	3788	4174	4667	3429	6258	6111	5962	4830	1724	5879	7301	2355
ADAM18|8749	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ADAM19|8728	1564	1696	1404	39	1531	7	561	29	116	2847	32614	428	16041	2001	1875	461	11416	431	1481	3383	8971	9438	1509
ADAM20|8748	1	2	1	8	0	1	1	5	0	3	1	2	3	0	1	5	4	9	6	1	16	1	1
ADAM21P1|145241	6	0	0	1	0	7	0	0	0	5	13	9	1	0	3	0	1	4	1	1	1	7	3
ADAM21|8747	17	4	22	3	17	22	2	0	2	23	49	22	7	0	13	26	3	11	3	0	6	6	15
ADAM22|53616	2286	218	473	224	2543	381	218	84	320	2020	646	3	501	1203	327	451	645	226	816	4	7	601	278
ADAM23|8745	4555	1222	24	7	1441	3	1224	0	155	1047	6	5	1346	432	31	0	205	1326	1007	188	184	3225	86
ADAM28|10863	0	2	285	0	4	8	7	1	57	16	1030	484	1	0	9	129	2	221	85	12	113	247	343
ADAM29|11086	1	0	11	0	0	0	0	1	0	0	4	1	0	0	0	0	2	1	0	0	1	2	1
ADAM2|2515	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ADAM30|11085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ADAM32|203102	2	28	4	2	20	2	11	7	16	15	61	1	13	119	0	3	2	2	15	3	3	8	20
ADAM33|80332	0	1	0	0	1	0	0	5	2	0	0	0	1	3	0	0	0	0	0	18	0	1	0
ADAM3A|1587	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM5P|255926	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	2	0	0	2	0
ADAM6|8755	58.19	2.01	3	0	0	3.02	0	19	0	0	125.63	2.07	0	1.01	1	5.07	35.17	0	1	0	0	1	1
ADAM7|8756	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ADAM8|101	185	95	1157	461	21	3	88	152	68	27	10548	293	29	75	20	115	36	168	1187	82	3173	7701	7135
ADAM9|8754	20595	31814	44363	2327	32163	8377	23768	21484	29479	16385	83901	13922	12354	28585	30165	43784	27675	10591	24576	16591	36758	51359	39244
ADAMDEC1|27299	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS10|81794	1393	1185	2	0	31	0	2775	4	0	41	19	49	2	260	0	93	0	0	5	2	0	168	103
ADAMTS12|81792	0	374	101	2	2	7	288	0	3	1	31	3	4172	0	1	2	6	1232	6888	7	2119	5645	4
ADAMTS13|11093	513	62	6	4	145	45	32	87	11	119	301	43	22	297	18	88	3	2	52	26	30	7	105
ADAMTS14|140766	142	3	5	3	1	159	1	2	0	2	456	2	406	43	8	3	1	16	34	39	31	109	393
ADAMTS15|170689	1	280	132	6	17	10	121	12	55	65	380	2	112	5	2	123	993	1008	147	127	4553	997	362
ADAMTS16|170690	432	261	118	13	153	0	145	11	116	76	3	25	1	1	107	1025	15	0	831	89	86	658	320
ADAMTS17|170691	0	4	24	77	0	21	2	11	103	22	0	3	60	3	190	1	53	63	137	7	168	10	24
ADAMTS18|170692	1	2	1	0	3	0	0	0	3	6	3	0	2516	0	1	3	0	3	1	1	1	20	0
ADAMTS19|171019	0	0	9	1	35	5	0	0	15	20	0	0	3237	1	1	0	0	4	10	1	1	1	1
ADAMTS1|9510	5242	4	962	108	254	229	4	23	181	6	438	1	25	1821	1110	2243	506	3902	204	1022	495	13194	81
ADAMTS20|80070	2	0	183	15	76	5	0	0	29	32	2	0	41	246	0	1	10	221	39	0	151	141	0
ADAMTS2|9509	152	4	0	1	0	0	29	0	0	14	16	0	23	22	1	0	1	0	0	3254	5	23	14
ADAMTS3|9508	0	4	1430	73	1244	218	8	20	547	893	1050	8	38	6	105	19	3	174	326	57	58	3230	621
ADAMTS4|9507	1	1	0	1	1	5	0	1	0	0	6	3	5	20	6	1	0	2	1	4	3	1	1
ADAMTS5|11096	79	0	196	3	2	3	0	0	7	0	0	0	0	250	0	1	0	29	3	30	2	36	2
ADAMTS6|11174	22	30	15	30	1141	36	12	1	50	179	224	34	13	72	6	2128	512	68	416	630	1027	1318	168
ADAMTS7|11173	515	316	120	30	38	3	171	26	9	154	20	26	192	4026	106	0	15	26	27	212	362	157	166
ADAMTS8|11095	3	81	4	2	12	0	23	1	2	11	3	2	399	7	0	17	1	6	2	1	1	4	12
ADAMTS9|56999	1	1343	13	0	23	37	3913	5	4	3	22	4	0	2	0	1748	0	0	237	0	2	94	1300
ADAMTSL1|92949	3854	9	4	0	3	3	0	1	1	5	8	1	5551	2	0	45	0	0	0	789	1268	7794	112
ADAMTSL2|9719	0	0	0	0	0	0	0	0	0	0	0	0	1600	0	0	0	0	0	3	2	0	0	2
ADAMTSL3|57188	4	54	337	26	784	1	2	2310	7	68	0	2	10	527	0	219	1317	90	290	100	7	386	177
ADAMTSL4|54507	246	137	81	14	811	429	141	799	15	813	245	22	65	1231	192	162	79	128	483	183	628	65	46
ADAMTSL5|339366	1846	138	109	75	451	80	155	350	10	558	362	414	111	417	820	237	458	230	240	249	179	241	331
ADAP1|11033	1556.98	215.33	1363.88	772.87	121.81	565.54	149.15	2509.46	1320.15	186.66	5357.24	355.99	339.42	266.75	185.75	2120.64	2004.8	1377.26	1894.7	697.85	985.29	531.36	617.02
ADAP2|55803	1720	298	72	23	55	64	115	65	16	150	108	169	24	311	43	487	30	9	10	14	0	23	50
ADARB1|104	2135	472	351	294	768	955	126	679	168	1117	2272	387	196	1395	112	795	619	221	351	537	414	1327	293
ADARB2|105	3	0	2	40	275	78	0	0	0	5	0	0	1	0	1	0	0	1	50	0	0	7	2
ADAR|103	27099	19033	16543	13171	12231	58678	12607	22705	21126	10207	55525	13294	14922	31568	33732	21465	15413	19938	10914	7002	23555	29884	22299
ADAT1|23536	1626	1393	1133	787	1065	975	782	1316	2292	907	1916	1057	940	1650	1850	1864	1289	1357	1461	590	1065	4313	1130
ADAT2|134637	1035	423	321	176	2493	239	238	430	823	1220	1025	516	506	1030	69	985	426	393	828	129	505	1107	398
ADAT3|113179	215	114	108	66	236	240	65	141	136	269	130	136	224	159	130	140	150	94	116	45	95	57	157
ADA|100	1616	1363	390	154	612	164	1119	878	532	761	772	28	372	884	1149	742	1007	307	599	245	603	1593	219
ADCK1|57143	542	272	231	220	341	550	311	850	403	420	244	175	289	274	510	397	578	278	766	281	302	512	311
ADCK2|90956	2517	812	595	830	1372	1335	621	1129.24	877	1121.25	1145	951.43	1144	1433	1151	625	1353	781.63	1325.41	130	839	1464	518
ADCK4|79934	2901	1468	313	524	1374	1496	1433	736	1116	1623	1442	398	837	2060	1131	555	852	575	709	225	450	988	477
ADCK5|203054	657	270	179	86	350	171	443	557	304	235	972	414	146	634	196	308	286	349	331	149	486	380	444
ADCY10|55811	2	3	2	0	4	1	2	1	4	8	2	1	2	5	3	3	1	2	0	0	0	10	6
ADCY1|107	7935	830	144	638	17	6803	661	30	36	19	3116	1	2494	5596	525	9	591	127	3	987	688	1877	3278
ADCY2|108	0	0	0	0	1	0	0	0	0	0	0	0	3	2	0	0	0	1	0	0	13	16	4
ADCY3|109	10926.9	4725.45	1206	1538.58	6621.56	2341.94	3242.84	1428.71	4513.57	4039.96	5539.61	3514.6	3318.08	6499.25	2471.87	3719.97	7271.42	5786.73	4006.54	1169.83	5218.7	6146.2	1144.6
ADCY4|196883	1	0	1	0	0	2	3	33	4	1	80	11	0	1	0	4	0	1	2	0	7	0	7
ADCY5|111	202	89	6	0	0	21	67	8435	0	4	0	0	18	102	0	3	1	6	0	11	2	12	4
ADCY6|112	14312	1635	1630	1073	1546	8919	1676	7785	1208	1461	3830	49	2033	3612	1108	1217	986	95	1893	229	508	1031	2041
ADCY7|113	2279	1933	910	1112	430	835	1434	115	6603	258	4163	1212	7641	2086	938	5411	1227	3333	2083	1199	5298	5867	871
ADCY8|114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	1	6	23	1
ADCY9|115	4191	2257	2041	1000	2014	5466	5724	1654	956	1694	4762	1620	1280	4153	5874	2774	2044	819	1084	1204	3473	3009	2234
ADCYAP1R1|117	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7	0
ADCYAP1|116	0	1	0	0	6	9	1	19	0	6	0	0	0	1	0	0	1	0	1	0	0	40	0
ADC|113451	260	50	36	7	294	10	48	17	23	167	502	29	8	81	16	58	16	32	121	86	29	234	87
ADD1|118	17595	8464	11398	4553	11743	7475	6317	7186	8842	10752	16050	8781	6896	10492	13477	10211	9542	10334	7482	10903	6701	24438	9212
ADD2|119	6922	6752	120	3475	3529	27	3039	8	50	3973	4	0	6356	6250	1	32	222	1667	770	14	2497	6898	1802
ADD3|120	7089	1450	3953	906	1971	128	2753	1708	4639	2719	9018	3345	6248	4491	3579	5257	1637	1680	3102	2569	3018	8452	4962
ADH1A|124	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	1
ADH1B|125	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0
ADH1C|126	0	1	102	37	0	0	32	1	320	0	350	125	427	0	0	19	0	0	4	0	1	5	0
ADH4|127	5	0	0	0	0	0	8	1	1	0	2	0	1	0	0	0	1	0	0	0	0	1	0
ADH5|128	3863	2623	2594	1503	3863	616	2542	2142	2369	4873	7985	2109	3500	5004	4079	5375	2102	1911	1739	2373	4801	5926	1396
ADH6|130	1	1	5	0	6	2	162	1	5	10	5	5	8	4	5	12	4	6	5	0	2	2	2
ADH7|131	0	0	6	0	0	0	0	0	338	0	0	0	34	0	0	0	1	190	0	1	3	0	0
ADHFE1|137872	4	29	100	3	204	42	25	21	15	133	82	6	13	6	39	15	10	3	52	65	14	7	108
ADI1|55256	2461	2690	2009	1946	3429	7315	1079	2693	4246	2415	5113	1491	5949	2698	8349	4979	6156	2432	3072	3101	2874	2263	4571
ADIG|149685	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADIPOQ|9370	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	1	0	0	0
ADIPOR1|51094	14669	5696	6466	6235	6559	26091	4801	13874	9965	5834	14114	8363	10016	10907	12637	8306	12511	9478	5863	4028	14916	27392	9326
ADIPOR2|79602	28402	6114	4193	5565	14991	5842	4303	4556	7217	10266	8410	4618	7373	6039	2842	10364	13014	8512	7720	2865	7622	7235	9218
ADK|132	1606	1098	1041	1515	997	710	773	1461	1806	793	2890	2633	1477	874	1861	2038	2367	1514	2010	979	2648	2673	1822
ADM2|79924	1075	44	1220	26	282	356	68	618	1094	323	3733	935	161	153	414	349	47	265	128	248	104	163	329
ADM|133	2270	1779	7359	236	1469	1728	3416	477	269	2406	1321	114	1284	23565	3358	1519	1826	5040	746	2512	4837	570	165
ADNP2|22850	4255	3271	1660	1047	2900	1957	2021	897	4629	2437	5409	1868	3182	5310	1369	2512	3434	2023	1669	952	4106	6675	1220
ADNP|23394	10839	7068	5762	4306	5878	5634	4967	6942	12005	3937	17739	5222	6863	12875	10541	7830	6436	6492	6105	3220	5731	10976	7128
ADORA1|134	222	67	93	10	11	329	28	3315	148	12	216	1022	14	176	106	80	489	53	68	3	43	39	1202
ADORA2A|135	43	47.95	342.95	25	620	53	48	270.99	13	682	90	15	52	58	146	33.15	358	27	187	71	28	137	53
ADORA2B|136	291	933	1067	1157	2093	62	1065	1327	454	459	4210	2213	187	201	1500	2213	6870	2793	2233	990	2659	5591	1168
ADORA3|140	0	0	0	0	0	2	0	2	1	0	1	0	0	0	1	0	0	1	0	1	2	2	2
ADO|84890	2255	1935	871	1334	1393	712	1613	1483	2802	1146	1891	1161	3756	2641	1210	1720	2101	1329	1130	1459	2160	4055	2076
ADPGK|83440	1742.9	2796.55	2548	1245.55	2965.22	4546	2699	2201	2102	1675	5082	1871	2542.51	2562.39	1885.83	2828	2770	4775	2444.27	1733	4794	4405	1848
ADPRHL1|113622	624	555	38	132	263	453	448	593	237	470	457	129	169	29	200	149	198	260	240	278	79	861	174
ADPRHL2|54936	992	764	480	695	845	509	573	816	621	855	2299	981	715	1477	1249	1315	1662	823	838	481	1000	1709	800
ADPRH|141	1	113	89	108	77	167	24	179	75	140	56	0	49	196	163	182	19	159	54	47	87	692	88
ADRA1A|148	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
ADRA1B|147	1	717	42	11	540	0	621	2	2	169	7249	0	1	3	13	106	2152	534	538	1615	2167	246	88
ADRA1D|146	1	206	1	11	8	9	602	513	0	4	134	0	8	4	839	2	116	376	3	24	160	7	61
ADRA2A|150	2	4	5	3	0	1924	9	2	0	5	1	1	49	5	0	1	8	11	1	29	14	1	6
ADRA2B|151	160	4	7	1	5	6	13	96	1	10	3	1	33	38	9	2	1	1	5	2	26	2	8
ADRA2C|152	2377	286	14	138	416	24	264	92	0	804	249	0	4160	326	26	10	173	32	75	539	63	33	76
ADRB1|153	210	69	110	6	376	1	14	7	27	444	855	21	631	2	252	84	256	56	71	13	37	80	161
ADRB2|154	0	24	5274	823	1069	94	4	2	143	1121	775	25	21	1	379	1141	1666	668	628	600	4046	1072	790
ADRB3|155	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0
ADRBK1|156	3876	2269	7612	5251	1836	5230	2470	8754	5232	1525	27357	10055	3250	5949	3386	2668	2965	3733	2835	2164	3010	6266	3402
ADRBK2|157	2521	913	569	571	1483	2	915	1057	1283	1820	222	1970	802	2536	2245	1391	752	904	368	496	287	3128	20
ADRM1|11047	11581	5773	3403	4249	7503	138659	4395	6320	5365	7007	11231	6110	4803	7097	9217	6447	7371	8241	7701	3812	7703	9871	6538
ADSL|158	1772	2700	989	3957	2577	1635	2650	2526	3026	2915	3889	1344	2729	4395	1656	2900	2957	2303	2090	1543	2128	5059	1735
ADSSL1|122622	261	222	296	69	448	90	201	718	59	544	1676	249	194	1283	304	215	237	185	166	126	233	77	84
ADSS|159	1900	3994	2705	2069	2836	6350	1657	5272	6392	2741	8030	4087	2015	3648	3172	6347	5499	3818	3129	1300	3842	8088	4958
AEBP1|165	1	0	1	2	2	1	0	29	29	1	1	2	181	23	13	2	1	2	2	3014	19	3218	1
AEBP2|121536	4896	3584	2503	3329	3886	1411	2023	1394	3495	2921	3129	2888	1292	2496	1872	3969	3135	2036	2534	933	1446	2898	3950
AEN|64782	2137	3303	596	2094	1933	3131	2412	2547	1965	2099	2124	1122	2399	3290	987	1717	2736	1696	1221	1328	1245	4229	1935
AES|166	17285	4716	6581	4402	7931	8486	5565	11446	9482	10535	8532	6015	11843	8681	17390	2172	5140	3614	4192	4887	2752	12617	7474
AFAP1L1|134265	956	705	2016	779	558	146	105	12	42	1251	516	0	25	271	198	1763	1709	1112	1131	2404	956	2199	917
AFAP1L2|84632	8	3448	1519	618	36	1	763	22	132	30	1232	38	4029	183	400	1440	2776	2581	1711	975	4742	3841	461
AFAP1|60312	1352.94	9467.79	6524.76	685.78	6011.86	1561.1	3857.93	5874.8	1921.68	3984.75	19885.42	1932.81	357.93	1142.95	9848.28	2184.85	3736.12	4190.57	4295.92	4060.81	3412.02	14394.7	3590.43
AFARP1|246182	4	13	5	5	9	13	4	15	6	6	7	12	3	34	12	26	13	8	17	1	15	6	6
AFF1|4299	4530	4018	2105	547	2153	3210	4135	4225	5423	2616	18064	5128	2686	2114	3947.94	5075	2146	1181	2007	1118	1669	8669	2668
AFF2|2334	6	0	1	8	1	0	5	0	7	0	417	0	92	4	0	1	0	18	1	0	1	0	395
AFF3|3899	466	9	64	0	20	0	1	0	0	68	0	0	44	25	1	2	1	0	0	8	1	119	85
AFF4|27125	27496	8494	7058	5495	9425	6721	6525	6895	6430	7837	20242	3954	8154	11688	12206	14497	8305	7366	6307	6605	8760	19762	7989
AFG3L1|172	866	805	428	144	1669	645	601	715	1133	1403	942	459	613	702	260	1090	353	584	1042	187	437	381	767
AFG3L2|10939	10288.65	3446.09	1923.4	3465.88	4040.7	9908.67	2511.83	4424.94	5129.78	2812.33	7008.96	1444.13	2625.33	10627.93	3526.18	3753.29	10679.39	6197.24	5213.76	2087.98	5925.87	7287.92	3447.01
AFMID|125061	1680	1114	985	888	935	1265	688	1534	1093	1238	4632	1463	1579	1990	631	902	573	854	462	507	382	1564	444
AFM|173	0	0	0	0	0	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
AFP|174	0	1	4	0	0	10	1	4	16	0	8	0	0	0	7	0	0	0	16	3	0	221	1
AFTPH|54812	3455	2048	1310	1375	921	10850	1668	4324	2559	1095	5512	3107	1711	1411	2227	2644	3059	975	1699	461	1056	3153	1388
AG2|387763	0	1	1	0	2	7	0	0	1	7	3	0	12	59	2	4	1	1	0	19	12	15	0
AGAP11|119385	1	12.45	35.12	0	139.23	23.07	6.19	386.92	15.05	29.83	363.35	4.07	0	4	32.01	6	9.07	46.09	88.39	6.12	25.17	33.14	8.07
AGAP1|116987	2955	2682	1371	717	1248	3697	1509	2482	2499	930	5789	1107	1842	2484	1569	2505	3572	891	3770	634	921	3744	1629
AGAP2|116986	1260.04	47.1	73.43	20.62	17.62	17.25	52.05	104.94	40.42	142.16	88.95	327.87	4.05	3071.45	1.03	241.86	13.58	7.32	23.18	6.16	81.89	262.87	4.06
AGAP3|116988	3233	2156	1452	1731	1962	2061	1890	2083	3547	1934	5395	5452	983	4226	1641	3365	1635	1190	1732	580	589	3200	4244
AGAP4|119016	488	293	67	60	501	238	243	396	258	465	545	152	325	386	42	384	95	119	393	60	119	211	522
AGAP5|729092	171.74	122.25	14.78	10.46	52.81	170.9	51.82	94	63.25	82	207.89	94.94	88.72	80.04	5.7	112.64	19.61	67.5	61	17.01	64.66	22	102.67
AGAP6|414189	598	426	64	45	692	567	246	423	379	598	327	345	230	589	17	438	55	104	470	24	69	137	492
AGAP7|653268	31	15	6	3	42	25	15	18	24	32	15	188	10	40	0	39	5	6	40	2	6	20	48
AGAP8|728404	169.68	106	21	20	232	181	94	165	165	236.67	260	73	95.11	159	5	152	28	58	275	19	51	65	319.03
AGA|175	461	592	1038	185	601	1427	449	1097	946	326	1469	689	288	660	1059	755	271	1275	500	968	3593	1091	378
AGBL1|123624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	7	0	0
AGBL2|79841	452	55	13	7	64	0	67	9	4	95	109	95	36	685	11	14	0	23	73	4	12	19	4
AGBL3|340351	17	13	1	6	40	11	24	14	25	27	22	8	7	12	22	30	20	5	24	5	3	13	23
AGBL4|84871	5	0	0	36	4	23	0	51	3	2	6	0	0	1	0	4	0	3	0	0	0	0	0
AGBL5|60509	6324.28	2347.22	1173.24	1847.22	3114.23	2457.06	2084.18	2006.12	2339.11	3459.32	4559.47	2366.23	3605.48	4746.38	2737.18	1817.12	2081.24	1508.26	1963.2	1315.2	743.14	5494.73	1037.08
AGER|177	316	87	34	37	288	49	109	104	84	146	497	164	188	177	32	126	49	37	156	17	53	35	99
AGFG1|3267	5407	12639	4680	2534	5874	1916	11462	9534	8442	4780	8226	4628	6478	7397	9085	6862	4439	4148	5584	2618	6915	23246	3182
AGFG2|3268	736	834	931	805	361	821	629	1433	742	474	589	1836	262	253	956	1314	995	2101	621	679	520	1357	981
