	A427	A549	Detroit562	FaDu	H1299	H1395	H1703	H2126	H2170	H2228	H358	H441	H520	H522	H596	HCC827	KYSE30	OE21	PC9	SCC15	SCC25	SKMES1	SW900
C2orf78|388960	2	1	2	2	3	0	0	0	0	1	101	1	1	2	0	17	1	0	2	5	2	18	3
C2orf79|391356	2247	1079	431	653	463	2397	947	811	804	526	1475	638	1298	2275	958	797	1248	575	390	600	478	617	629
C2orf7|84279	596	436	320	401	722	5326	305	581	322	732	527	321	721	731	665	637	1148	525	313	323	405	1539	534
C2orf80|389073	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
C2orf81|388963	739.88	171.81	29.22	21.57	110.82	47.68	133.18	87.73	48.64	80.96	704.11	61.86	27	339.34	100.23	65.05	88.29	168.32	86.16	11	43.55	245.53	45.47
C2orf82|389084	5	51	4	2	2	1	73	7	3	4	18	4	1	5	5	29	1	1	12	2	0	5	4
C2orf83|56918	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2orf84|653140	137	1	0	0	1	0	1	0	2	1	14	23	0	2	1	1	0	1	2	1	0	3	2
C2orf85|285093	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
C2orf86|51057	429	219	414	78	73	167	130	148	145	107	191	136	135	155	256	188	146	104	141	75	62	200	90
C2orf88|84281	88	41	29	9	303	4108	27	22	74	281	83	28	39	229	23	117	4	33	57	23	12	85	26
C2orf89|129293	6	531	403	325	4629	43	50	170	33	2447	443	204	174	343	39	841	132	643	883	1373	1212	1762	533
C2|717	23	3	475.91	2	11	19.03	1.39	31	7.04	2.01	48.03	9	30.12	174.09	31	16.02	1	35.14	4	50	48	1	1
C3AR1|719	11	1	1	0	5	1	1	0	1	2	1	3	1	2	0	1	3	11	2	17	53	59	1
C3P1|388503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C3orf10|55845	3970	3152	1583	3146	2723	2489	2314	1842	2850	2230	5920	1995	3414	4397	3390	3629	2080	1638	2031	1723	1558	4675	1860
C3orf14|57415	571	433	0	295	328	121	340	488	879	268	223	1038	291	600	116	343	184	368	263	0	0	910	389
C3orf15|89876	0	8	0	0	279	132	2	12	20	250	143	1	2	110	11	11	0	0	68	0	1	47	19
C3orf16|389161	0	0	895	2	0	0	0	1	0	0	3	0	0	0	2	2	0	0	3	0	6	0	1
C3orf17|25871	5765	2648	2622	1438	2382	1246	2071	1783	1543	1592	4386	1572	2121	2660	2603	3438	2098	1946	1882	1446	2475	3834	1540
C3orf18|51161	1502	284	8	15	154	1385	182	70	24	280	241	133	76	543	98	173	8	4	100	85	47	706	243
C3orf19|51244	955	827	450	492	724	619	556	639	576	656	1651	449	716	982	429	581	340	306	511	307	534	1105	573
C3orf1|51300	6330	2747	2315	1462	2624	1662	2140	3322	1954	2347	4274	2225	2254	2836	4202	4057	2419	2655	2437	1749	2426	5882	1508
C3orf20|84077	2	3	0	0	1	1	0	0	0	0	0	0	1	6	0	0	1	0	0	0	0	0	0
C3orf21|152002	903	993	1022	494	1301	442	831	515	658	573	1198	434	8377	3769	2002	853	2199	3064	1278	1061	8231	2973	295
C3orf22|152065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C3orf23|285343	2552	1137	872	474	1218	2564	888	1322	1363	1184	3703	2063	467	2211	1476	1529	1098	737	1025	365	748	2394	1323
C3orf24|115795	1	2	1	0	3	0	0	0	1	1	1	1	0	2	0	0	3	0	0	0	0	0	0
C3orf26|84319	2148	2007	1803	2148	1835	869	1380	999	1342	1812	1745	1274	2371	1702	1674	3135	3232	2306	2387	1471	2864	3287	1255
C3orf27|23434	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1	0
